timestep,year,agent_id,prev_consumption,curr_consumption,prev_income,curr_income,curr_wealth,prev_dpi,curr_dpi,work_decision,consumption_prop,is_macro_good,yearly_mpc,score
89,8,77,0.0,21832.514010253966,34181.29422491487,34232.57821203205,87330.05604101587,31264.109787861424,31027.578266594188,1.0,0.3,True,0.8306785755973836,19
89,8,94,61863.27655241209,55935.3962219453,78186.59669688328,78186.86954593251,55935.3962219453,59172.1729020459,58806.55371950105,1.0,0.6,True,0.09022659977538824,19
94,8,94,0.0,48402.09448423633,78806.41856655522,79352.35136275447,112938.22046321811,58434.60492737881,59773.30440056451,1.0,0.4,True,0.09022659977538824,19
95,8,94,48402.09448423633,69085.0689150376,79352.35136275447,79353.49878656582,103627.60337255638,59773.30440056451,86205.7562044762,1.0,0.44,True,0.09022659977538824,19
99,9,75,0.0,28064.8918701328,33036.42354128773,33092.93313374867,65484.747696976534,30065.266014082557,30744.234410507674,1.0,0.24,True,0.6043459701201492,19
107,9,75,23255.31208919368,36916.100990222956,33162.65089778408,33158.24032975003,86137.56897718691,30036.832178669203,39809.23678693375,1.0,0.28,True,0.6043459701201492,19
145,13,69,26837.079709588503,21702.315737306824,27347.834315791002,27344.495049583424,21702.315737306824,25516.584267762228,26005.51184270599,1.0,0.6,True,0.8105711135423134,19
146,13,69,21702.315737306824,28639.843935160003,27344.495049583424,27369.740694837285,19093.22929010667,26005.51184270599,33785.53650561465,1.0,0.54,True,0.8105711135423134,19
147,13,48,10578.107227760038,15449.596963411672,13911.924141489924,13916.756206042597,15449.596963411672,17431.316299666985,17024.958890046346,1.0,0.4,True,0.10516341456895625,19
148,13,48,15449.596963411672,12989.761942863945,13916.756206042597,13916.605209744437,19484.642914295917,17024.958890046346,17461.97837991616,1.0,0.5,True,0.10516341456895625,19
152,13,48,20076.90189699563,15271.89866564272,13924.709906337292,13924.72694436456,19436.96193809073,17606.297505302504,17369.714716381757,1.0,0.4,True,0.10516341456895625,19
152,13,69,31669.78773793325,23534.952452995272,27481.17754531693,27481.24730582563,29953.575849266712,26510.49120943978,33842.59418760814,1.0,0.5,True,0.8105711135423134,19
153,13,48,15271.89866564272,14744.426687916526,13924.72694436456,13979.117009683385,22116.640031874787,17369.714716381757,17044.597281856528,1.0,0.44,True,0.10516341456895625,19
155,13,48,17234.865425214935,15602.077204939456,13988.02838962238,13974.590364586436,23403.11580740918,17083.347768929205,17288.42153775137,1.0,0.44,True,0.10516341456895625,19
155,13,69,26480.174931161117,24425.05221661133,27575.791019833203,27515.80988067438,19191.1124559089,26022.695857571634,33743.6042550745,1.0,0.56,True,0.8105711135423134,19
181,16,77,17079.506317697145,26427.919379018516,32218.95773893545,32201.016805088177,16197.757038753283,29224.005244857028,28895.7511045964,1.0,0.56,True,0.4630071803033058,19
184,16,77,29637.986189656367,27436.431380620914,32202.61594293538,32229.881470260752,21557.19608477357,29207.704478298205,29293.002566019284,1.0,0.6,True,0.4630071803033058,19
185,16,77,27436.431380620914,30533.218998776192,32229.881470260752,32268.381150761546,20355.479332517465,29293.002566019284,38626.67925156781,1.0,0.56,True,0.4630071803033058,19
190,16,77,33752.022123776085,25422.26494032193,32250.17871318309,32250.164496992184,25422.26494032193,28343.19601431738,29261.25963609239,1.0,0.44,True,0.4630071803033058,19
191,16,77,25422.26494032193,24026.03767868112,32250.164496992184,32171.2710084895,30578.59340923052,29261.25963609239,29539.03109340711,1.0,0.4,True,0.4630071803033058,19
216,19,79,30576.83332933689,27629.152250291147,37120.51518953753,37153.80583033025,75951.18395219243,32201.101126571455,32016.36338002301,1.0,0.44,True,0.5833002680702196,19
216,19,86,40404.996269684336,34925.90925234233,45607.53591738323,45723.85328431902,29751.70047421754,37624.628179834515,37531.660058658694,1.0,0.5,True,0.20743600350364141,19
217,19,86,34925.90925234233,33662.55844322972,45723.85328431902,45765.60963790222,33662.55844322972,37531.660058658694,37882.09774024668,1.0,0.6,True,0.20743600350364141,19
217,19,91,20199.132982619165,38361.696272884205,53853.76561042733,53956.189284082335,21578.45415349736,42631.057915680605,43045.51774305082,1.0,0.7000000000000001,True,0.567032303819524,19
218,19,28,12727.305877401674,10909.116079863461,6729.458969866975,6725.607595933523,9292.950734698503,11721.047603560968,11606.287785524435,1.0,0.5,True,0.21149490812357755,19
218,19,79,47536.13456910177,31576.608417797233,37222.927973346115,37197.749469448136,61295.76928160638,32397.021297172076,32230.872147384835,1.0,0.4,True,0.5833002680702196,19
221,19,91,45934.726373507525,40225.73380623329,53997.751109178986,53991.87211738286,22626.975266006222,43172.27676110384,43005.741495840695,1.0,0.7000000000000001,True,0.567032303819524,19
222,19,86,43403.81683225574,36164.2641635538,45838.00002781771,46050.093887521354,30806.595398582867,37822.88781426253,37933.673389829375,1.0,0.5,True,0.20743600350364141,19
223,19,86,36164.2641635538,34423.19279783273,46050.093887521354,46156.21069477456,34423.19279783273,37933.673389829375,38066.701460805685,1.0,0.6,True,0.20743600350364141,19
223,19,91,46004.502609122195,40192.227222130314,54079.873368567634,54163.11455760966,22608.1278124483,43000.89844162708,43064.81371291833,1.0,0.7000000000000001,True,0.567032303819524,19
225,19,79,39627.76031728361,29054.630975554952,37354.33848966144,37387.42712261007,36978.621241615394,32243.18257320235,32078.461870498926,1.0,0.4,True,0.5833002680702196,19
225,19,86,43397.23330427,36050.25181771811,45995.03860991949,46036.973241903994,30709.473770648758,37786.30208686904,37622.16987514459,1.0,0.5,True,0.20743600350364141,19
225,19,91,45945.71435709164,40093.971176650826,54126.90782808822,54175.97769572832,22552.858786866083,42906.73965712327,42756.54312920521,1.0,0.6,True,0.567032303819524,19
226,19,28,15826.777958734547,11926.43894141767,6758.560624335096,6768.924677368814,23151.32265098724,11327.230601269377,12971.649048525083,1.0,0.4,True,0.21149490812357755,19
226,19,79,29054.630975554952,27626.58467168718,37387.42712261007,37396.80568971369,41439.87700753077,32078.461870498926,32607.101791842215,1.0,0.5,True,0.5833002680702196,19
226,19,86,36050.25181771811,34181.416426334,46036.973241903994,46068.16244877865,34181.416426334,37622.16987514459,38189.13835327568,1.0,0.6,True,0.20743600350364141,19
226,19,91,40093.971176650826,39193.32692000874,54175.97769572832,54188.78731300491,26128.884613339156,42756.54312920521,43273.8583890913,1.0,0.54,True,0.567032303819524,19
227,19,79,27626.58467168718,36981.710272488344,37396.80568971369,37313.24743531741,36981.710272488344,32607.101791842215,43181.51257802036,1.0,0.6,True,0.5833002680702196,19
227,19,86,34181.416426334,43348.122101189685,46068.16244877865,45944.47783781844,28898.74806745979,38189.13835327568,51812.74298052139,1.0,0.54,True,0.20743600350364141,19
227,19,91,39193.32692000874,37456.3341245535,54188.78731300491,54149.62602271058,31907.247587582606,43273.8583890913,42893.89286697602,1.0,0.6,True,0.567032303819524,19
229,20,8,7567.450085189084,6625.386403834913,2057.6060622363098,2057.92105532312,8432.309968517162,7489.93129407618,7866.406728553542,1.0,0.5,True,0.16370664627193554,19
229,20,9,8396.253415379999,7220.741299931655,2378.1500902555645,2380.642173435164,6151.001848089927,7771.748787921983,8150.532633158388,1.0,0.5,True,0.5094491245603823,19
229,20,15,8702.99948588366,8144.310797612099,3673.541638499125,3675.2836855083387,8144.310797612099,8873.213319499273,9252.010416447018,1.0,0.44,True,0.3819386262426356,19
229,20,20,12190.119109667497,9541.522023271957,4525.901265091377,4531.416747894574,8127.963205009442,9537.22367236654,9920.157540687173,1.0,0.5,True,0.09088649904227454,19
229,20,26,11397.474338820939,9370.357873217896,6089.244602590103,6091.734873518616,37481.43149287158,10757.297022227991,11135.97305624185,1.0,0.24,True,0.6655896094135039,19
