Agent,Year,Delta_DPI,Delta_Consumption,MPC
0,2002,10018.642499448913,24924.958461622897,2.487857857288941
0,2003,8960.6954529926,14021.600152955798,1.5647892762913853
0,2005,6485.898918318577,-7838.550592774132,-1.2085526912291475
0,2008,3325.5099430643313,2318.734263010847,0.6972567524107961
0,2011,6830.581443190094,2814.520654404041,0.41204700914737535
0,2012,1514.6991408404865,5637.424037036908,3.721811074579983
0,2014,1461.8898345941852,-42.63246771944978,-0.029162572110835137
0,2017,3100.572082558021,-429.06187297351426,-0.13838151849046237
0,2018,8641.377664496787,8382.551313609569,0.9700480223251196
0,2019,1934.9395987308526,-3063.763069558321,-1.5833895133304812
1,2002,9787.822379740028,21284.397568244123,2.174579466450172
1,2003,9095.183576036536,12051.085076683186,1.3249963539421776
1,2005,6660.266694073056,6347.512963848465,0.9530418608457663
1,2008,3000.82872293939,1919.3298483766557,0.6395999324135441
1,2011,6526.32541312238,7157.796383985711,1.096757506083537
1,2012,1548.848392942018,-11664.732881880263,-7.53122961229488
1,2014,1519.0277510020096,901.4894487039564,0.593464765939463
1,2017,3086.299458493013,-92.8969988841418,-0.03009980079169045
1,2018,8744.019427782405,-10230.41116077629,-1.169989527730367
1,2019,2092.3076728293236,14591.803601169624,6.9740238448955525
2,2002,10580.30798275012,20246.864120239785,1.9136365551220045
2,2003,9339.890272032091,15471.615751979116,1.6565093701698208
2,2005,6585.3980447759095,6073.845336314538,0.9223201536212108
2,2008,3380.080044656919,2970.690907657743,0.8788818218532072
2,2011,6739.60455585501,6605.419183037724,0.9800900228336523
2,2012,1624.6821902168158,2364.859328157996,1.4555827240541135
2,2014,1517.8692153630109,606.2476557938644,0.3994070435435212
2,2017,3109.8029827684513,-6882.143013544439,-2.2130479170798543
2,2018,8823.802291141445,26281.46499443527,2.9784739194372305
2,2019,2088.539731773635,-4697.988517927108,-2.2494130451315235
3,2002,10803.625362874736,6698.971983992269,0.620067038515832
3,2003,9592.621579373357,33477.531479930825,3.4899251683102213
3,2005,6467.433840283629,1700.339090992784,0.2629078445923794
3,2008,2772.8017615160497,-1202.0334254116315,-0.43350860566188143
3,2011,6819.736009540851,-1969.6039380937436,-0.2888094107071382
3,2012,1978.1262517220312,14809.148071710239,7.486452423761292
3,2014,1557.4410215871612,159.62865436462744,0.10249418896257954
3,2017,2578.412047008169,872.631893525424,0.33843771965693864
3,2018,9071.1413156872,11141.987954812474,1.2282895356887507
3,2019,2222.175113684454,1181.0816338210425,0.5314980023616422
4,2002,12089.841468024882,20855.911287288996,1.725077317386547
4,2003,9736.040633839395,9817.204453569502,1.0083364298468525
4,2005,7315.119881087216,34484.917332229714,4.714197155044349
4,2008,2957.7728781571495,3445.8748054487514,1.1650234644100583
4,2011,6519.097914580823,8007.463909660786,1.2283085811230163
4,2012,1953.665711474605,153.6994823666464,0.07867235498064598
4,2014,1241.027940896165,-5852.099295597771,-4.715525817550797
4,2017,2613.2238133915234,-407.9064897472563,-0.1560932085713173
4,2018,8890.416404415955,6623.203209909712,0.74498233925465
4,2019,2094.2436059142638,9454.927536327945,4.514721930928517
5,2002,11052.771370180257,19124.119739344307,1.7302556163371012
5,2003,9281.856695543363,21808.59652709427,2.3495941859957346
5,2005,7027.138173309635,19656.15415773804,2.7971776949535068
5,2008,3249.5696575171023,-11952.38696859144,-3.678144563216994
5,2011,6389.521357538179,911.2373201096198,0.14261433198506607
5,2012,1802.6128101009817,2221.0748321058636,1.232141932898746
5,2014,1588.1836983010726,5795.492529639712,3.649132361602328
5,2017,2913.472422519728,391.192320195114,0.13427012975011784
5,2018,8550.008143884654,2208.274748104319,0.25827750230668206
5,2019,2165.64285491404,19185.053931110495,8.858826323822447
6,2002,11352.747414920348,15058.951939828126,1.3264588200065914
6,2003,9763.726288715785,7102.199263082934,0.7274066327823165
6,2005,6895.530739257141,3060.0707869428006,0.4437759619461088
6,2008,2951.4144433148176,-1555.5076691901922,-0.5270380351744696
6,2011,7081.919428135065,2451.154913428574,0.346114487506116
6,2012,1723.663362957901,3136.0855038650334,1.8194303895183677
6,2014,1591.3315511481342,-2933.9587631598115,-1.8437130596970703
6,2017,2991.8188332906284,-9732.859665469834,-3.253158098067355
6,2018,8418.813657347215,14594.689558639337,1.7335803062825068
6,2019,2664.576363123284,20076.90431796582,7.534745333563144
7,2002,11674.37736186765,22806.41844370689,1.9535447362015335
7,2003,9674.016758643484,-7458.810689339312,-0.7710148612958581
7,2005,6660.077214473495,-26333.054278104042,-3.9538662135744884
7,2008,3477.426981364799,29903.120234782284,8.599208666358853
7,2011,6914.064835460711,6317.012541736753,0.9136467030708464
7,2012,1964.149558235702,1849.7322226970136,0.94174713679061
7,2014,1547.1062427403958,18358.700964159652,11.866477205625392
7,2017,2594.650580000758,-5232.884313735936,-2.0167973113876503
7,2018,9220.43151307611,23836.814324124512,2.5852167862556037
7,2019,2595.91547825461,-5519.772518669313,-2.1263298304229026
8,2002,12617.375255532781,17024.198473365446,1.3492662402903688
8,2003,9403.233718468735,20834.271844622723,2.21564968694785
8,2004,2229.492013749099,-794.077879985547,-0.3561698696781743
8,2005,6527.351427422007,6770.029087478833,1.0371785804326874
8,2008,1932.154371893179,8336.972299930552,4.314858285242371
8,2011,5288.366740031954,15424.777051574783,2.9167373992450423
8,2012,2440.9858613333054,-2200.0830304373085,-0.9013092067790954
8,2014,3130.688045369272,-12338.331953227622,-3.9410927484383986
8,2017,2758.060621062483,3288.6636215636245,1.1923826461423963
8,2018,8657.80639880008,14753.39230322119,1.704056619384088
8,2019,3208.0243695552053,-3635.4158216901997,-1.133225749838756
9,2002,11573.017514679857,26624.44863599357,2.3005623729698534
9,2003,10163.919234955247,25579.076462400903,2.5166548327568967
9,2004,1522.8898658535327,-1797.4733082318853,-1.1803042022506711
9,2005,6566.915267943914,8727.963549925698,1.3290811886260874
9,2008,3119.3050142188295,-84.27900210639928,-0.027018519100321246
9,2011,6914.725418414993,880.782117775263,0.127377743074165
9,2012,1865.8904385525966,6304.145910108855,3.378625979239751
9,2014,1584.575217157966,53.223530561459484,0.033588516332420736
9,2017,3088.1921534385037,-9795.417500599506,-3.171893785719563
9,2018,8143.736623423727,22973.610321986882,2.82101587812997
9,2019,1547.9663722617115,5949.216383010338,3.8432465262911513
10,2002,12913.38465243169,13825.640370639783,1.0706441992368212
10,2003,10854.304509769165,27573.228657761283,2.540303584899856
10,2005,7171.425784202351,6866.029709940325,0.9574148734921345
10,2008,2931.559251728264,4634.621022591862,1.5809405932558176
10,2011,6786.45864374224,5663.238232691045,0.8344909370239939
10,2012,2140.38130179976,2995.7723938207346,1.399644255582737
10,2014,1118.6982633302978,5172.051799454552,4.623276864717447
10,2017,2596.6328672562813,134.97320250669145,0.05198008706148366
10,2018,9119.506216151101,-1299.787154240039,-0.14252823819978883
10,2019,2519.3671700621344,24921.555752977933,9.891990357389352
11,2002,12070.937680075018,14947.174381134835,1.2382778187818415
11,2003,9416.016768368747,36317.039820686405,3.8569429849239802
11,2004,1529.5206086288235,-4396.564983434902,-2.874472536448078
11,2005,6936.189725411576,28716.06116628254,4.140033981636597
11,2008,2984.084358953609,2890.7715775067336,0.9687298446617655
11,2011,7093.8250573290425,4779.361258218181,0.6737354275857629
11,2012,1821.343944944936,2793.383895740233,1.5336937888602278
11,2014,1770.6003729297372,-1920.8072981717269,-1.0848338945018117
11,2017,2398.2487769881263,-14004.011982459764,-5.839265766267541
11,2018,9151.585019159611,36494.11521049442,3.9877371115594653
11,2019,2985.642124543723,-16843.523724897866,-5.641507931052505
12,2002,12665.936644590533,29721.61749763864,2.3465787277826293
12,2003,10673.681281127152,-14508.44492493452,-1.3592728265727654
12,2004,1735.6676331755007,42655.549208998535,24.57587408653685
12,2005,7063.716318872117,14696.614984412852,2.080578313309091
12,2008,3085.3515009095427,1983.892902264066,0.6430038527795703
12,2011,6190.838948943507,4400.832514455993,0.7108620577518034
12,2012,2328.7701506925805,-516.7712461484771,-0.22190736427757302
12,2014,1677.0934429492481,776.5796345487033,0.4630509038202733
12,2017,1909.0492932942434,-1931.1952868304943,-1.0116005352056865
12,2018,9325.599635965511,23587.844703339055,2.5293649335286874
12,2019,2869.386984837256,-15553.013764379619,-5.420326308917772
13,2002,12533.010406646325,17030.094074585963,1.358819112250542
13,2003,9839.703975888027,42204.90500408446,4.28924539879519
13,2004,1414.9973757071566,-6561.225680661359,-4.636917207978801
13,2005,7810.288962325925,-12741.268244725608,-1.6313440266019588
13,2008,3768.122582610711,7696.473554889642,2.042522074628795
13,2011,5847.893739371619,-7820.0323416740575,-1.3372391309070457
13,2012,2329.359180236599,23187.576538936177,9.954487369603925
13,2014,1664.9212695137394,4885.931326102131,2.934632054721198
13,2017,2302.1540504746517,-10228.60163059477,-4.443056983300429
13,2018,8423.383401601357,27215.576970641603,3.2309555048233576
13,2019,2513.896403619219,5738.27567004005,2.282622172408831
14,2002,15630.725432770108,13801.197418378695,0.8829530963063446
14,2003,10312.347713227166,38751.851621392576,3.757810801093081
14,2004,1410.2209892199462,8916.021460046293,6.322428561340678
14,2005,7038.285275016577,13037.323557668191,1.8523437241093479
14,2008,1687.5857857356896,8461.909115151459,5.014209758505732
14,2011,6128.765969109067,12103.583200621375,1.9748809567255938
14,2012,2409.6876472420554,-20996.061895627034,-8.713188167627255
14,2014,2094.2168488768802,-9090.164778206017,-4.340603401735133
14,2017,2240.229521523652,-3230.8691386892606,-1.4422045186208612
14,2018,8972.702120169604,11843.836716023972,1.3199855024051659
14,2019,2707.0134506892355,5497.498153777473,2.0308351819891213
15,2002,14430.72581778247,17890.07757877471,1.239721258977106
15,2003,11065.197692282964,16599.22975126673,1.5001295243774346
15,2004,3233.4080002842384,1368.88547491598,0.42335686520094146
15,2005,5292.845794012901,4106.9602016006975,0.7759455615061297
15,2008,2073.0644762548327,536.4472443877603,0.25877016876816966
15,2011,5756.202091908694,12750.150663457942,2.215028322473322
15,2012,1361.986578003809,308.1929260410252,0.22628191130394773
15,2014,2742.4218229174003,-4301.404195327967,-1.5684692119143488
15,2017,3249.5614810255065,-7080.67664020267,-2.1789637406608255
15,2018,9781.428761751682,15890.05718701442,1.6245128982740544
15,2019,1352.5674071375106,5363.913038654457,3.9657269651398064
16,2002,14253.5178115827,5046.630422171889,0.3540620981348825
16,2003,10698.292833850312,39886.94560878935,3.7283467772151133
16,2004,3009.626854201706,1628.167513373046,0.5409865050545983
16,2005,6719.205062810768,-398.3736955750501,-0.059288813460978515
16,2008,2937.5740597603,3819.3875825676078,1.3001842693556676
16,2011,9051.914247663502,13964.270456693543,1.5426870023981973
16,2012,2431.7813374957914,-8776.78775193388,-3.609201048056431
16,2017,3310.2453954523808,-5073.758897963722,-1.5327440391380223
16,2018,10666.527988972506,745.0736651106126,0.0698515642466696
16,2019,1574.4916623307654,11134.31427930978,7.071688307848727
17,2002,16626.10972902608,13181.214219206347,0.7928020706007016
17,2003,8601.72220868386,-9804.61853163509,-1.1398436608121159
17,2004,4234.831819059196,49092.28021999479,11.592498195335903
17,2005,5683.906092442136,11309.815060594236,1.9897962557180258
17,2008,4092.802153322875,-10657.90037063828,-2.6040595101782076
17,2011,7452.497553217079,2339.4878846064967,0.31391998023489337
17,2012,1674.2750297532039,15526.07091232913,9.273309722965735
17,2014,1812.569765335982,-242.52106624557928,-0.1337995760955579
17,2017,2915.8768966666685,-5692.094656345682,-1.9521038980941519
17,2018,10098.452288727465,-8164.638503105758,-0.8085039439379881
17,2019,2840.4601605587814,14837.55330500759,5.22364422181817
18,2002,13860.75358525438,37101.345233620406,2.676719198953965
18,2003,12162.65806318444,-16876.112697244083,-1.3875349129748995
18,2004,3611.657247296491,22881.176947063665,6.3353677772693935
18,2005,4977.942677535088,15558.243545757447,3.1254364611248144
18,2008,3053.2627792365383,5429.288174743793,1.778192238042929
18,2011,7652.589085883301,5325.320394942071,0.695884796005272
18,2012,1812.1467467023467,3146.2168213549594,1.7361821425777388
18,2014,2469.156167210953,-2635.903839276216,-1.0675322501993114
18,2017,1917.9882607399923,-1634.8786003031419,-0.8523923914280779
18,2018,8368.451863227165,17893.98681585092,2.1382672814885955
18,2019,2349.550676346582,-1089.2416354152665,-0.4635957191223368
19,2002,14540.515747469399,19196.669877392167,1.320219324457808
19,2003,10205.20582136995,24038.735027489674,2.355536522071116
19,2004,2471.3645451361226,21636.556657932015,8.754902914066154
19,2005,8456.896339796047,8245.929384678573,0.975053855854338
19,2008,1007.0281094989041,33117.09348341462,32.88596730422316
19,2011,3805.915811255458,13825.287708495453,3.632578436866396
19,2012,2495.9467291359906,8044.064818741055,3.222851162983606
19,2014,2587.700045608275,-6285.948899415904,-2.429164427339299
19,2017,2104.1920423930715,-736.6187949629966,-0.35007203721065744
19,2018,7995.364564798001,10286.205354905163,1.2865211175226803
19,2019,4511.125601036998,15572.914715508086,3.4521128633457363
20,2002,15258.61611628678,38178.45741558037,2.502091744403305
20,2003,13128.135867186153,12995.98583887516,0.9899338314557437
20,2004,1597.610141254234,-3890.3891013562534,-2.435130449473756
20,2005,7800.957133231568,13828.577195352656,1.7726769881151916
20,2008,3235.294505321159,24470.59615176743,7.5636379042217365
20,2011,5899.522095293389,9486.328461038647,1.6079825293995926
20,2012,3782.5589745546167,-201.75430647155736,-0.053338046499410686
20,2017,2112.096795394071,-9058.831657569055,-4.289022963968314
20,2018,8191.02544776717,27531.19288590776,3.361141173528232
20,2019,4005.741372258257,1096.5701797378715,0.2737496203155209
21,2002,16342.002587063937,26598.418997123503,1.6276107444860142
21,2003,11944.078872976766,17188.45031545723,1.4390770940357525
21,2004,4047.232831934467,-7989.77574481332,-1.9741329635820395
21,2005,6173.22456204606,14140.369940498145,2.2905970450897457
21,2008,2092.6826855195104,8346.942136925412,3.988632483406473
21,2011,7811.893649599078,2353.554799318168,0.30127839738818735
21,2012,2820.62823829439,-3096.8583101132535,-1.0979321089070204
21,2014,1787.3592808564717,20983.089627762747,11.739715597475183
21,2017,1311.420659202733,-4952.348031315516,-3.776323025387028
21,2018,9879.66496051586,9669.088444080146,0.9786858646242271
21,2019,2863.671461756341,6872.463919248665,2.3998786212136425
22,2002,15987.26732727472,29945.288031675853,1.8730710770431895
22,2003,12935.76066936148,15846.264452562144,1.2249967247843592
22,2004,2289.1083926716237,-3608.8881533684034,-1.5765475173311745
22,2005,6724.6476737349585,17717.85779887592,2.6347637316491834
22,2008,4046.672263827524,308.4671188770444,0.07622735392593478
22,2011,5959.522841531929,5892.5384398195165,0.9887601065565857
22,2012,2519.0413890332857,13922.123807160038,5.526754688418531
22,2014,2721.8657448116282,-5560.990620224649,-2.043080424089583
22,2017,2177.2171346786636,-19966.366324269693,-9.170590294484587
22,2018,9714.653583983367,24437.135487884734,2.515492217671503
22,2019,3774.7585532907106,8748.339105359191,2.317589054201275
23,2002,17827.85251301834,61993.334026956654,3.47733042898395
23,2003,11527.177537732568,20760.539673075153,1.8010080616107884
23,2004,2264.025753628317,7352.209102989698,3.247405243163459
23,2005,6478.310704862117,1757.7770937781315,0.27133263189412643
23,2011,8132.137454447453,-12186.423230213899,-1.4985510634168098
23,2012,1877.8141781698505,9732.02084112665,5.182632527895621
23,2018,7689.045156092237,29006.374795295313,3.772428722480942
23,2019,5531.040046634444,10730.48337753414,1.9400480356426781
24,2002,16783.81647092328,27904.99469413419,1.6626131930408992
24,2003,16076.396719590295,2909.225346036692,0.18096252517155056
24,2004,2356.1361320363358,12833.756660262865,5.446950405692834
24,2005,8538.802899834729,34544.12183652987,4.045546224892775
24,2011,7272.590977897984,9517.858512715058,1.3087300718053072
24,2012,2933.3842949711834,-13628.041559719102,-4.645842545445611
24,2014,3149.7334617103916,-30889.295052890782,-9.806955232369742
24,2017,2037.808577623713,-332.94123141805176,-0.16338199528352867
24,2018,9963.248865094705,7035.9118906027,0.7061865046101927
24,2019,2159.2236355077184,25666.87487243436,11.887084992193996
