month,unemployment_rate,violation
1,0.1,
2,0.21,high
3,0.42,high
4,0.3,high
5,0.21,high
6,0.25,high
7,0.21,high
8,0.27,high
9,0.21,high
10,0.2,high
11,0.2,high
12,0.22,high
13,0.23,high
14,0.13,
15,0.13,
16,0.1,
17,0.21,high
18,0.12,
19,0.1,
20,0.09,
21,0.08,
22,0.08,
23,0.08,
24,0.08,
25,0.06,
26,0.1,
27,0.07,
28,0.07,
29,0.09,
30,0.05,
31,0.02,low
32,0.1,
33,0.03,low
34,0.06,
35,0.05,
36,0.14,
37,0.12,
38,0.11,
39,0.07,
40,0.14,
41,0.13,
42,0.15,high
43,0.13,
44,0.13,
45,0.1,
46,0.08,
47,0.15,high
48,0.13,
49,0.11,
50,0.09,
51,0.09,
52,0.09,
53,0.11,
54,0.1,
55,0.08,
56,0.08,
57,0.08,
58,0.09,
59,0.06,
60,0.05,
61,0.14,
62,0.12,
63,0.1,
64,0.09,
65,0.06,
66,0.07,
67,0.12,
68,0.15,high
69,0.14,
70,0.12,
71,0.08,
72,0.12,
73,0.2,high
74,0.11,
75,0.08,
76,0.15,high
77,0.11,
78,0.1,
79,0.15,high
80,0.13,
81,0.1,
82,0.09,
83,0.17,high
84,0.09,
85,0.12,
86,0.11,
87,0.12,
88,0.08,
89,0.04,
90,0.08,
91,0.11,
92,0.11,
93,0.07,
94,0.02,low
95,0.06,
96,0.08,
97,0.06,
98,0.05,
99,0.1,
100,0.12,
101,0.12,
102,0.12,
103,0.1,
104,0.12,
105,0.14,
106,0.16,high
107,0.12,
108,0.12,
109,0.1,
110,0.12,
111,0.15,high
112,0.08,
113,0.12,
114,0.14,
115,0.13,
116,0.13,
117,0.13,
118,0.09,
119,0.12,
120,0.09,
121,0.06,
122,0.09,
123,0.05,
124,0.05,
125,0.05,
126,0.03,low
127,0.04,
128,0.07,
129,0.07,
130,0.06,
131,0.08,
132,0.07,
133,0.08,
134,0.07,
135,0.04,
136,0.05,
137,0.06,
138,0.06,
139,0.07,
140,0.08,
141,0.07,
142,0.03,low
143,0.03,low
144,0.03,low
145,0.05,
146,0.03,low
147,0.05,
148,0.07,
149,0.14,
150,0.12,
151,0.07,
152,0.08,
153,0.13,
154,0.08,
155,0.08,
156,0.14,
157,0.1,
158,0.07,
159,0.06,
160,0.06,
161,0.09,
162,0.08,
163,0.09,
164,0.05,
165,0.12,
166,0.16,high
167,0.08,
168,0.02,low
169,0.08,
170,0.09,
171,0.12,
172,0.21,high
173,0.11,
174,0.12,
175,0.13,
176,0.11,
177,0.09,
178,0.12,
179,0.17,high
180,0.13,
181,0.19,high
182,0.17,high
183,0.18,high
184,0.21,high
185,0.11,
186,0.19,high
187,0.16,high
188,0.16,high
189,0.13,
190,0.12,
191,0.22,high
192,0.13,
193,0.16,high
194,0.21,high
195,0.21,high
196,0.18,high
197,0.17,high
198,0.13,
199,0.12,
200,0.11,
201,0.15,high
202,0.12,
203,0.08,
204,0.09,
205,0.09,
206,0.07,
207,0.12,
208,0.11,
209,0.09,
210,0.05,
211,0.07,
212,0.12,
213,0.11,
214,0.12,
215,0.09,
216,0.06,
217,0.06,
218,0.08,
219,0.06,
220,0.1,
221,0.09,
222,0.05,
223,0.11,
224,0.06,
225,0.1,
226,0.08,
227,0.1,
228,0.17,high
229,0.1,
230,0.11,
231,0.24,high
232,0.09,
233,0.09,
234,0.09,
235,0.08,
236,0.13,
237,0.18,high
238,0.1,
239,0.08,
240,0.18,high
